name,1-gram,2-gram,3-gram,last_letter_vowel,vowel,sonorants,ratio_of_syllable,gender
aalanah,h,ah,nah,0,n,na,0.3,F
aalani,i,ni,ani,1,i,na,0.7,F
aalap,p,ap,lap,0,n,na,0.5,M
aalaya,a,ya,aya,1,a,na,0.7,F
aalayah,h,ah,yah,0,n,na,0.3,F
aalayiah,h,ah,iah,0,n,na,0.3,F
aalayjah,h,ah,jah,0,n,na,0.3,F
aalayna,a,na,yna,1,a,na,0.7,F
aalaysha,a,ha,sha,1,a,ha,0.7,F
aalaysia,a,ia,sia,1,a,na,0.7,F
aalea,a,ea,lea,1,a,na,1.0,F
aaleah,h,ah,eah,0,n,na,0.5,F
aaleahya,a,ya,hya,1,a,na,0.7,F
aaleena,a,na,ena,1,a,na,0.7,F
aaleeya,a,ya,eya,1,a,na,0.7,F
aaleeyah,h,ah,yah,0,n,na,0.3,F
aaleiah,h,ah,iah,0,n,na,0.5,F
aaleigha,a,ha,gha,1,a,ha,0.7,F
aaleiyah,h,ah,yah,0,n,na,0.3,F
aalena,a,na,ena,1,a,na,0.7,F
aalexis,s,is,xis,0,n,na,0.3,F
aalexus,s,us,xus,0,n,na,0.3,F
aaleya,a,ya,eya,1,a,na,0.7,F
aaleyah,h,ah,yah,0,n,na,0.3,F
aali,i,li,ali,1,i,na,1.0,M
aalia,a,ia,lia,1,a,na,1.0,F
aaliah,h,ah,iah,0,n,na,0.5,F
aaliana,a,na,ana,1,a,na,0.7,F
aalias,s,as,ias,0,n,na,0.5,M
aaliayah,h,ah,yah,0,n,na,0.3,F
aaliayh,h,yh,ayh,0,n,na,0.5,F
aalicia,a,ia,cia,1,a,na,0.7,F
aaliegha,a,ha,gha,1,a,ha,0.7,F
aaliha,a,ha,iha,1,a,ha,0.7,F
aalijah,h,ah,jah,0,n,na,0.3,M
aalim,m,im,lim,0,n,na,0.5,M
aalimah,h,ah,mah,0,n,na,0.3,F
aalina,a,na,ina,1,a,na,0.7,F
aalinah,h,ah,nah,0,n,na,0.3,F
aalis,s,is,lis,0,n,na,0.5,F
aalisa,a,sa,isa,1,a,na,0.7,F
aalish,h,sh,ish,0,n,na,0.5,F
aalisha,a,ha,sha,1,a,ha,0.7,F
aalivia,a,ia,via,1,a,na,0.7,F
aaliya,a,ya,iya,1,a,na,0.7,F
aaliyaa,a,aa,yaa,1,a,na,0.7,F
aaliyah,h,ah,yah,0,n,na,0.3,F
aaliyaha,a,ha,aha,1,a,ha,0.5,F
aaliyahmarie,e,ie,rie,1,e,na,0.5,F
aaliyahrose,e,se,ose,1,e,na,0.5,F
aaliyan,n,an,yan,0,n,na,0.3,F
aaliyana,a,na,ana,1,a,na,0.5,F
aaliyanna,a,na,nna,1,a,na,0.5,F
aaliyha,a,ha,yha,1,a,ha,0.7,F
aaliyiah,h,ah,iah,0,n,na,0.3,F
aalliyah,h,ah,yah,0,n,na,0.3,F
aallyah,h,ah,yah,0,n,na,0.5,F
aalok,k,ok,lok,0,n,na,0.5,M
aalon,n,on,lon,0,n,na,0.5,M
aalya,a,ya,lya,1,a,na,1.0,F
aalyah,h,ah,yah,0,n,na,0.5,F
aalycia,a,ia,cia,1,a,na,0.7,F
aalyha,a,ha,yha,1,a,ha,0.7,F
aalyia,a,ia,yia,1,a,na,1.0,F
aalyiah,h,ah,iah,0,n,na,0.5,F
aalyna,a,na,yna,1,a,na,0.7,F
aalysia,a,ia,sia,1,a,na,0.7,F
aalyssa,a,sa,ssa,1,a,na,0.7,F
aalyvia,a,ia,via,1,a,na,0.7,F
aamaira,a,ra,ira,1,a,na,0.7,F
aaman,n,an,man,0,n,na,0.5,M
aamanah,h,ah,nah,0,n,na,0.3,F
aamanda,a,da,nda,1,a,na,0.7,F
aamanee,e,ee,nee,1,e,na,1.0,F
aamani,i,ni,ani,1,i,na,0.7,F
aamar,r,ar,mar,0,n,na,0.5,M
aamari,i,ri,ari,1,i,na,0.7,M
aamarion,n,on,ion,0,n,na,0.3,M
aamaya,a,ya,aya,1,a,na,0.7,F
aamber,r,er,ber,0,n,na,0.5,F
aamena,a,na,ena,1,a,na,0.7,F
aamenah,h,ah,nah,0,n,na,0.3,F
aamer,r,er,mer,0,n,na,0.5,M
aamia,a,ia,mia,1,a,na,1.0,F
aamil,l,il,mil,0,n,na,0.5,M
aamilah,h,ah,lah,0,n,na,0.3,F
aamin,n,in,min,0,n,na,0.5,M
aamina,a,na,ina,1,a,na,0.7,F
aaminah,h,ah,nah,0,n,na,0.3,F
aamir,r,ir,mir,0,n,na,0.5,M
aamira,a,ra,ira,1,a,na,0.7,F
aamirah,h,ah,rah,0,n,na,0.3,F
aamiya,a,ya,iya,1,a,na,0.7,F
aamiyah,h,ah,yah,0,n,na,0.3,F
aamna,a,na,mna,1,a,na,1.0,F
aamnah,h,ah,nah,0,n,na,0.5,F
aamod,d,od,mod,0,n,na,0.5,M
aamoni,i,ni,oni,1,i,na,0.7,F
aamori,i,ri,ori,1,i,na,0.7,F
aamosh,h,sh,osh,0,n,na,0.5,M
aamrin,n,in,rin,0,n,na,0.5,F
aamu,u,mu,amu,1,u,na,1.0,F
aamya,a,ya,mya,1,a,na,1.0,F
aamyah,h,ah,yah,0,n,na,0.5,F
aana,a,na,ana,1,a,na,1.0,F
aanad,d,ad,nad,0,n,na,0.5,M
aanamika,a,ka,ika,1,a,na,0.5,F
aanand,d,nd,and,0,n,na,0.5,M
aanav,v,av,nav,0,n,na,0.5,M
aanaya,a,ya,aya,1,a,na,0.7,F
aanchal,l,al,hal,0,n,na,0.5,F
aania,a,ia,nia,1,a,na,1.0,F
aaniah,h,ah,iah,0,n,na,0.5,F
aanijah,h,ah,jah,0,n,na,0.3,F
aanik,k,ik,nik,0,n,na,0.5,F
aanika,a,ka,ika,1,a,na,0.7,F
aanil,l,il,nil,0,n,na,0.5,M
aanis,s,is,nis,0,n,na,0.5,M
aanisah,h,ah,sah,0,n,na,0.3,F
aanisha,a,ha,sha,1,a,ha,0.7,F
aaniya,a,ya,iya,1,a,na,0.7,F
aaniyah,h,ah,yah,0,n,na,0.3,F
aaniylah,h,ah,lah,0,n,na,0.3,F
aansh,h,sh,nsh,0,n,na,1.0,M
aanshi,i,hi,shi,1,i,na,1.0,F
aansi,i,si,nsi,1,i,na,1.0,F
aansu,u,su,nsu,1,u,na,1.0,M
aanuoluwa,a,wa,uwa,1,a,na,0.5,F
aanvi,i,vi,nvi,1,i,na,1.0,F
aanya,a,ya,nya,1,a,na,1.0,F
aanyah,h,ah,yah,0,n,na,0.5,F
aanyla,a,la,yla,1,a,na,0.7,F
aapeli,i,li,eli,1,i,na,0.7,M
aapo,o,po,apo,1,o,na,1.0,M
aapri,i,ri,pri,1,i,na,1.0,F
aaqib,b,ib,qib,0,n,na,0.5,M
aaqil,l,il,qil,0,n,na,0.5,M
aara,a,ra,ara,1,a,na,1.0,F
aarabella,a,la,lla,1,a,na,0.5,F
aarabhi,i,hi,bhi,1,i,na,0.7,F
aarabi,i,bi,abi,1,i,na,0.7,F
aaradhana,a,na,ana,1,a,na,0.5,F
aaradhy,y,hy,dhy,0,n,na,0.3,M
aaradhya,a,ya,hya,1,a,na,0.7,F
aarae,e,ae,rae,1,e,na,2.0,F
aaraiz,z,iz,aiz,0,n,na,0.5,M
aaralyn,n,yn,lyn,0,n,na,0.3,F
aaralynn,n,nn,ynn,0,n,na,0.3,F
aaran,n,an,ran,0,n,na,0.5,M
aarani,i,ni,ani,1,i,na,0.7,F
aaraon,n,on,aon,0,n,na,0.5,M
aarati,i,ti,ati,1,i,na,0.7,F
aaratrika,a,ka,ika,1,a,na,0.5,F
aarav,v,av,rav,0,n,na,0.5,M
aaravi,i,vi,avi,1,i,na,0.7,F
aaraya,a,ya,aya,1,a,na,0.7,F
aardhna,a,na,hna,1,a,na,1.0,F
aareon,n,on,eon,0,n,na,0.5,M
aareona,a,na,ona,1,a,na,0.7,F
aarez,z,ez,rez,0,n,na,0.5,M
aari,i,ri,ari,1,i,na,1.0,F
aaria,a,ia,ria,1,a,na,1.0,F
aariah,h,ah,iah,0,n,na,0.5,F
aarian,n,an,ian,0,n,na,0.3,M
aariana,a,na,ana,1,a,na,0.7,F
aarianna,a,na,nna,1,a,na,0.7,F
aarib,b,ib,rib,0,n,na,0.5,M
aaric,c,ic,ric,0,n,na,0.5,M
aarica,a,ca,ica,1,a,na,0.7,F
aarick,k,ck,ick,0,n,na,0.5,M
aarie,e,ie,rie,1,e,na,2.0,F
aariel,l,el,iel,0,n,na,0.5,F
aarielle,e,le,lle,1,e,na,0.7,F
aarien,n,en,ien,0,n,na,0.5,M
aarif,f,if,rif,0,n,na,0.5,F
aarifa,a,fa,ifa,1,a,na,0.7,F
aarifah,h,ah,fah,0,n,na,0.3,F
aarifun,n,un,fun,0,n,na,0.3,F
aarik,k,ik,rik,0,n,na,0.5,M
aarika,a,ka,ika,1,a,na,0.7,F
aariketh,h,th,eth,0,n,na,0.3,M
aarilyn,n,yn,lyn,0,n,na,0.3,F
aarilynn,n,nn,ynn,0,n,na,0.3,F
aarin,n,in,rin,0,n,na,0.5,M
aarini,i,ni,ini,1,i,na,0.7,F
aarion,n,on,ion,0,n,na,0.5,M
aariona,a,na,ona,1,a,na,0.7,F
aarionna,a,na,nna,1,a,na,0.7,F
aaris,s,is,ris,0,n,na,0.5,F
aarish,h,sh,ish,0,n,na,0.5,M
aarit,t,it,rit,0,n,na,0.5,M
aariv,v,iv,riv,0,n,na,0.5,M
aariya,a,ya,iya,1,a,na,0.7,F
aariyah,h,ah,yah,0,n,na,0.3,F
aariyan,n,an,yan,0,n,na,0.3,M
aariyana,a,na,ana,1,a,na,0.5,F
aariyanna,a,na,nna,1,a,na,0.5,F
aariyona,a,na,ona,1,a,na,0.5,F
aariyonna,a,na,nna,1,a,na,0.5,F
aariz,z,iz,riz,0,n,na,0.5,M
aarjav,v,av,jav,0,n,na,0.5,M
aarju,u,ju,rju,1,u,na,1.0,F
aarn,n,rn,arn,0,n,na,1.0,M
aarna,a,na,rna,1,a,na,1.0,F
aarnav,v,av,nav,0,n,na,0.5,M
aarnavi,i,vi,avi,1,i,na,0.7,F
aarne,e,ne,rne,1,e,na,2.0,M
aaro,o,ro,aro,1,o,na,1.0,M
aaroh,h,oh,roh,0,n,na,0.5,M
aarohan,n,an,han,0,n,na,0.3,M
aarohi,i,hi,ohi,1,i,na,0.7,F
aarolyn,n,yn,lyn,0,n,na,0.3,F
aaron,n,on,ron,0,n,na,0.5,M
aarona,a,na,ona,1,a,na,0.7,F
aaronae,e,ae,nae,1,e,na,1.0,F
aaronda,a,da,nda,1,a,na,0.7,F
aarondeep,p,ep,eep,0,n,na,0.3,M
aaronette,e,te,tte,1,e,na,0.7,F
aaronisha,a,ha,sha,1,a,ha,0.5,F
aaronjacob,b,ob,cob,0,n,na,0.2,M
aaronjames,s,es,mes,0,n,na,0.3,M
aaronjit,t,it,jit,0,n,na,0.3,M
aaronjohn,n,hn,ohn,0,n,na,0.3,M
aaronjoseph,h,ph,eph,0,n,na,0.2,M
aaronjosh,h,sh,osh,0,n,na,0.3,M
aaronjoshua,a,ua,hua,1,a,na,0.5,M
aaronlee,e,ee,lee,1,e,na,1.0,M
aaronmichael,l,el,ael,0,n,na,0.2,M
aaronn,n,nn,onn,0,n,na,0.5,M
aaronveer,r,er,eer,0,n,na,0.3,M
aaroon,n,on,oon,0,n,na,0.5,M
aaroosh,h,sh,osh,0,n,na,0.5,M
aarran,n,an,ran,0,n,na,0.5,M
aarren,n,en,ren,0,n,na,0.5,M
aarron,n,on,ron,0,n,na,0.5,M
aarsh,h,sh,rsh,0,n,na,1.0,M
aarshi,i,hi,shi,1,i,na,1.0,F
aarshiya,a,ya,iya,1,a,na,0.7,F
aart,t,rt,art,0,n,na,1.0,M
aarthi,i,hi,thi,1,i,na,1.0,F
aarti,i,ti,rti,1,i,na,1.0,F
aaruhi,i,hi,uhi,1,i,na,0.7,F
aarun,n,un,run,0,n,na,0.5,M
aarush,h,sh,ush,0,n,na,0.5,M
aarushi,i,hi,shi,1,i,na,0.7,F
aarvi,i,vi,rvi,1,i,na,1.0,F
aarvin,n,in,vin,0,n,na,0.5,M
aarya,a,ya,rya,1,a,na,1.0,F
aaryah,h,ah,yah,0,n,na,0.5,F
aaryahi,i,hi,ahi,1,i,na,0.7,F
aaryan,n,an,yan,0,n,na,0.5,M
aaryana,a,na,ana,1,a,na,0.7,F
aaryanna,a,na,nna,1,a,na,0.7,F
aaryash,h,sh,ash,0,n,na,0.5,M
aaryav,v,av,yav,0,n,na,0.5,M
aaryn,n,yn,ryn,0,n,na,0.5,F
aaryon,n,on,yon,0,n,na,0.5,M
aaryona,a,na,ona,1,a,na,0.7,F
aarza,a,za,rza,1,a,na,1.0,F
aarzo,o,zo,rzo,1,o,na,1.0,F
aarzoo,o,oo,zoo,1,o,na,1.0,F
aarzu,u,zu,rzu,1,u,na,1.0,F
aas,s,as,aas,0,n,na,1.0,M
aasa,a,sa,asa,1,a,na,1.0,F
aaser,r,er,ser,0,n,na,0.5,M
aash,h,sh,ash,0,n,na,1.0,M
aasha,a,ha,sha,1,a,ha,1.0,F
aashana,a,na,ana,1,a,na,0.7,F
aashay,y,ay,hay,0,n,na,0.5,M
aashdon,n,on,don,0,n,na,0.5,M
aashi,i,hi,shi,1,i,na,1.0,F
aashia,a,ia,hia,1,a,na,1.0,F
aashif,f,if,hif,0,n,na,0.5,M
aashik,k,ik,hik,0,n,na,0.5,M
aashika,a,ka,ika,1,a,na,0.7,F
aashini,i,ni,ini,1,i,na,0.7,F
aashir,r,ir,hir,0,n,na,0.5,M
aashirya,a,ya,rya,1,a,na,0.7,F
aashis,s,is,his,0,n,na,0.5,M
aashish,h,sh,ish,0,n,na,0.5,M
aashita,a,ta,ita,1,a,na,0.7,F
aashiya,a,ya,iya,1,a,na,0.7,F
aashiyana,a,na,ana,1,a,na,0.5,F
aashka,a,ka,hka,1,a,na,1.0,F
aashma,a,ma,hma,1,a,na,1.0,F
aashman,n,an,man,0,n,na,0.5,M
aashna,a,na,hna,1,a,na,1.0,F
aashni,i,ni,hni,1,i,na,1.0,F
aashray,y,ay,ray,0,n,na,0.5,M
aashrita,a,ta,ita,1,a,na,0.7,F
aashrith,h,th,ith,0,n,na,0.5,M
aashritha,a,ha,tha,1,a,ha,0.7,F
aashu,u,hu,shu,1,u,na,1.0,F
aashvi,i,vi,hvi,1,i,na,1.0,F
aasia,a,ia,sia,1,a,na,1.0,F
aasif,f,if,sif,0,n,na,0.5,M
aasim,m,im,sim,0,n,na,0.5,M
aasin,n,in,sin,0,n,na,0.5,M
aasir,r,ir,sir,0,n,na,0.5,M
aasish,h,sh,ish,0,n,na,0.5,M
aasiya,a,ya,iya,1,a,na,0.7,F
aasiyah,h,ah,yah,0,n,na,0.3,F
aasma,a,ma,sma,1,a,na,1.0,F
aasmin,n,in,min,0,n,na,0.5,F
aason,n,on,son,0,n,na,0.5,M
aastha,a,ha,tha,1,a,ha,1.0,F
aasto,o,to,sto,1,o,na,1.0,M
aaston,n,on,ton,0,n,na,0.5,M
aasu,u,su,asu,1,u,na,1.0,F
aatam,m,am,tam,0,n,na,0.5,M
aatami,i,mi,ami,1,i,na,0.7,M
aathan,n,an,han,0,n,na,0.5,M
aathavan,n,an,van,0,n,na,0.3,M
aathrey,y,ey,rey,0,n,na,0.5,M
aatif,f,if,tif,0,n,na,0.5,M
aatifa,a,fa,ifa,1,a,na,0.7,F
aatika,a,ka,ika,1,a,na,0.7,F
aatikah,h,ah,kah,0,n,na,0.3,F
aatikun,n,un,kun,0,n,na,0.3,F
aatiqa,a,qa,iqa,1,a,na,0.7,F
aatiqah,h,ah,qah,0,n,na,0.3,F
aatir,r,ir,tir,0,n,na,0.5,M
aatish,h,sh,ish,0,n,na,0.5,M
aatos,s,os,tos,0,n,na,0.5,M
aatto,o,to,tto,1,o,na,1.0,M
aatu,u,tu,atu,1,u,na,1.0,M
aava,a,va,ava,1,a,na,1.0,F
aavah,h,ah,vah,0,n,na,0.5,F
aavash,h,sh,ash,0,n,na,0.5,M
aaven,n,en,ven,0,n,na,0.5,M
aavesh,h,sh,esh,0,n,na,0.5,M
aavi,i,vi,avi,1,i,na,1.0,M
aavin,n,in,vin,0,n,na,0.5,M
aavion,n,on,ion,0,n,na,0.5,M
aavya,a,ya,vya,1,a,na,1.0,F
aavyan,n,an,yan,0,n,na,0.5,M
aavyn,n,yn,vyn,0,n,na,0.5,M
aaya,a,ya,aya,1,a,na,1.0,F
aayaan,n,an,aan,0,n,na,0.5,M
aayah,h,ah,yah,0,n,na,0.5,F
aayam,m,am,yam,0,n,na,0.5,M
aayan,n,an,yan,0,n,na,0.5,M
aayana,a,na,ana,1,a,na,0.7,F
aayanah,h,ah,nah,0,n,na,0.3,F
aayanna,a,na,nna,1,a,na,0.7,F
aayansh,h,sh,nsh,0,n,na,0.5,M
aayat,t,at,yat,0,n,na,0.5,F
aaydan,n,an,dan,0,n,na,0.5,M
aayden,n,en,den,0,n,na,0.5,M
aaydn,n,dn,ydn,0,n,na,1.0,M
aayesha,a,ha,sha,1,a,ha,0.7,F
aayla,a,la,yla,1,a,na,1.0,F
aaylah,h,ah,lah,0,n,na,0.5,F
aayliah,h,ah,iah,0,n,na,0.5,F
aaylie,e,ie,lie,1,e,na,2.0,F
aayra,a,ra,yra,1,a,na,1.0,F
aaysha,a,ha,sha,1,a,ha,1.0,F
aayu,u,yu,ayu,1,u,na,1.0,M
aayush,h,sh,ush,0,n,na,0.5,M
aayusha,a,ha,sha,1,a,ha,0.7,F
aayushi,i,hi,shi,1,i,na,0.7,F
aayza,a,za,yza,1,a,na,1.0,F
aazad,d,ad,zad,0,n,na,0.5,M
aazadi,i,di,adi,1,i,na,0.7,F
aazan,n,an,zan,0,n,na,0.5,M
aazeen,n,en,een,0,n,na,0.5,F
aazim,m,im,zim,0,n,na,0.5,M
aaziyah,h,ah,yah,0,n,na,0.3,F
ab,b,ab,ab,0,n,na,1.0,M
aba,a,ba,aba,1,a,na,2.0,F
abaan,n,an,aan,0,n,na,0.5,M
abaas,s,as,aas,0,n,na,0.5,M
abacuc,c,uc,cuc,0,n,na,0.3,M
abad,d,ad,bad,0,n,na,0.5,M
abaddon,n,on,don,0,n,na,0.3,M
abagael,l,el,ael,0,n,na,0.3,F
abagail,l,il,ail,0,n,na,0.3,F
abagaile,e,le,ile,1,e,na,0.5,F
abagale,e,le,ale,1,e,na,0.5,F
abagayle,e,le,yle,1,e,na,0.5,F
abaigael,l,el,ael,0,n,na,0.3,F
abaigail,l,il,ail,0,n,na,0.3,F
abaigeal,l,al,eal,0,n,na,0.3,F
abaigh,h,gh,igh,0,n,na,0.5,F
aban,n,an,ban,0,n,na,0.5,M
abanoub,b,ub,oub,0,n,na,0.3,M
abas,s,as,bas,0,n,na,0.5,M
abash,h,sh,ash,0,n,na,0.5,M
abasi,i,si,asi,1,i,na,0.7,M
abass,s,ss,ass,0,n,na,0.5,M
abayomi,i,mi,omi,1,i,na,0.5,M
abb,b,bb,abb,0,n,na,1.0,M
abba,a,ba,bba,1,a,na,1.0,M
abbaas,s,as,aas,0,n,na,0.5,M
abbad,d,ad,bad,0,n,na,0.5,M
abbagail,l,il,ail,0,n,na,0.3,F
abbagale,e,le,ale,1,e,na,0.5,F
abbagayle,e,le,yle,1,e,na,0.5,F
abbal,l,al,bal,0,n,na,0.5,M
abbas,s,as,bas,0,n,na,0.5,M
abbass,s,ss,ass,0,n,na,0.5,M
abbe,e,be,bbe,1,e,na,2.0,M
abbee,e,ee,bee,1,e,na,2.0,F
abbegail,l,il,ail,0,n,na,0.3,F
abbegale,e,le,ale,1,e,na,0.5,F
abbegayle,e,le,yle,1,e,na,0.5,F
abbey,y,ey,bey,0,n,na,0.5,F
abbeygail,l,il,ail,0,n,na,0.3,F
abbeygale,e,le,ale,1,e,na,0.5,F
abbeygayle,e,le,yle,1,e,na,0.5,F
abbi,i,bi,bbi,1,i,na,1.0,F
abbie,e,ie,bie,1,e,na,2.0,F
abbiegail,l,il,ail,0,n,na,0.3,F
abbiegale,e,le,ale,1,e,na,0.5,F
abbiegayle,e,le,yle,1,e,na,0.5,F
abbieleigh,h,gh,igh,0,n,na,0.3,F
abbielouise,e,se,ise,1,e,na,0.7,F
abbigael,l,el,ael,0,n,na,0.3,F
abbigail,l,il,ail,0,n,na,0.3,F
abbigaile,e,le,ile,1,e,na,0.5,F
abbigal,l,al,gal,0,n,na,0.3,F
abbigale,e,le,ale,1,e,na,0.5,F
abbigayl,l,yl,ayl,0,n,na,0.3,F
abbigayle,e,le,yle,1,e,na,0.5,F
abbilyn,n,yn,lyn,0,n,na,0.3,F
abbiney,y,ey,ney,0,n,na,0.3,F
abbot,t,ot,bot,0,n,na,0.5,M
abbott,t,tt,ott,0,n,na,0.5,M
abbra,a,ra,bra,1,a,na,1.0,F
abbriella,a,la,lla,1,a,na,0.7,F
abbrielle,e,le,lle,1,e,na,0.7,F
abby,y,by,bby,0,n,na,0.5,F
abbye,e,ye,bye,1,e,na,2.0,F
abbygael,l,el,ael,0,n,na,0.3,F
abbygail,l,il,ail,0,n,na,0.3,F
abbygaile,e,le,ile,1,e,na,0.5,F
abbygale,e,le,ale,1,e,na,0.5,F
abbygayl,l,yl,ayl,0,n,na,0.3,F
abbygayle,e,le,yle,1,e,na,0.5,F
abbylynn,n,nn,ynn,0,n,na,0.3,F
abcde,e,de,cde,1,e,na,2.0,F
abd,d,bd,abd,0,n,na,1.0,M
abdal,l,al,dal,0,n,na,0.5,M
abdala,a,la,ala,1,a,na,0.7,M
abdalah,h,ah,lah,0,n,na,0.3,M
abdalhai,i,ai,hai,1,i,na,0.7,M
abdalkhalq,q,lq,alq,0,n,na,0.3,M
abdalla,a,la,lla,1,a,na,0.7,M
abdallah,h,ah,lah,0,n,na,0.3,M
abdalrahman,n,an,man,0,n,na,0.2,M
abdalrhman,n,an,man,0,n,na,0.3,M
abdarahman,n,an,man,0,n,na,0.2,M
abdel,l,el,del,0,n,na,0.5,M
abdelaziz,z,iz,ziz,0,n,na,0.2,M
abdelhadi,i,di,adi,1,i,na,0.5,M
