name,1-gram,2-gram,3-gram,last_letter_vowel,vowel,sonorants,ratio_of_syllable,gender
agyeya,a,ya,eya,1,a,na,0.7,M
ahan,n,an,han,0,n,na,0.5,M
ainesh,h,sh,esh,0,n,na,0.5,M
airaawat,t,at,wat,0,n,na,0.3,M
aja,a,ja,Aja,1,a,na,2.0,M
ajaat,t,at,aat,0,n,na,0.5,M
ajaatshatru,u,ru,tru,1,u,na,0.5,M
ajanta,a,ta,nta,1,a,na,0.7,M
ajanya,a,ya,nya,1,a,na,0.7,M
ajay,y,ay,jay,0,n,na,0.5,M
ajit,t,it,jit,0,n,na,0.5,M
ajitaabh,h,bh,abh,0,n,na,0.3,M
ajitesh,h,sh,esh,0,n,na,0.3,M
ajisth,h,th,sth,0,n,na,0.5,M
ajoy,y,oy,joy,0,n,na,0.5,M
akash,h,sh,ash,0,n,na,0.5,M
akand,d,nd,and,0,n,na,0.5,M
akarsh,h,sh,rsh,0,n,na,0.5,M
akhil,l,il,hil,0,n,na,0.5,M
akhilesh,h,sh,esh,0,n,na,0.3,M
akshaj,j,aj,haj,0,n,na,0.5,M
akshan,n,an,han,0,n,na,0.5,M
akshansh,h,sh,nsh,0,n,na,0.5,M
akshar,r,ar,har,0,n,na,0.5,M
akshat,t,at,hat,0,n,na,0.5,M
akshay,y,ay,hay,0,n,na,0.5,M
akshayaguna,a,na,una,1,a,na,0.4,M
akshaykeerti,i,ti,rti,1,i,na,0.5,M
akshit,t,it,hit,0,n,na,0.5,M
akshobhya,a,ya,hya,1,a,na,0.7,M
akul,l,ul,kul,0,n,na,0.5,M
alak,k,ak,lak,0,n,na,0.5,M
alankar,r,ar,kar,0,n,na,0.3,M
alok,k,ok,lok,0,n,na,0.5,M
aloki,i,ki,oki,1,i,na,0.7,M
alop,p,op,lop,0,n,na,0.5,M
alpesh,h,sh,esh,0,n,na,0.5,M
amaan,n,an,aan,0,n,na,0.5,M
amal,l,al,mal,0,n,na,0.5,M
amalendu,u,du,ndu,1,u,na,0.5,M
amalesh,h,sh,esh,0,n,na,0.3,M
aman,n,an,man,0,n,na,0.5,M
amani,i,ni,ani,1,i,na,0.7,M
amar,r,ar,mar,0,n,na,0.5,M
amardeep,p,ep,eep,0,n,na,0.3,M
amaresh,h,sh,esh,0,n,na,0.3,M
amaris,s,is,ris,0,n,na,0.3,M
amarjeet,t,et,eet,0,n,na,0.3,M
amarnath,h,th,ath,0,n,na,0.3,M
amartya,a,ya,tya,1,a,na,0.7,M
amay,y,ay,may,0,n,na,0.5,M
ambar,r,ar,bar,0,n,na,0.5,M
ambareesh,h,sh,esh,0,n,na,0.3,M
ambikapathi,i,hi,thi,1,i,na,0.4,M
ambud,d,ud,bud,0,n,na,0.5,M
ambuj,j,uj,buj,0,n,na,0.5,M
ameet,t,et,eet,0,n,na,0.5,M
ameya,a,ya,eya,1,a,na,0.7,M
ameyatma,a,ma,tma,1,a,na,0.5,M
ami,i,mi,Ami,1,i,na,2.0,M
amil,l,il,mil,0,n,na,0.5,M
amir,r,ir,mir,0,n,na,0.5,M
amish,h,sh,ish,0,n,na,0.5,M
amit,t,it,mit,0,n,na,0.5,M
amitabh,h,bh,abh,0,n,na,0.3,M
amitava,a,va,ava,1,a,na,0.5,M
amitbikram,m,am,ram,0,n,na,0.2,M
amitesh,h,sh,esh,0,n,na,0.3,M
amlan,n,an,lan,0,n,na,0.5,M
amod,d,od,mod,0,n,na,0.5,M
amogh,h,gh,ogh,0,n,na,0.5,M
amol,l,ol,mol,0,n,na,0.5,M
amolik,k,ik,lik,0,n,na,0.3,M
amoorta,a,ta,rta,1,a,na,0.7,M
amresh,h,sh,esh,0,n,na,0.5,M
amrik,k,ik,rik,0,n,na,0.5,M
amrish,h,sh,ish,0,n,na,0.5,M
amrit,t,it,rit,0,n,na,0.5,M
amritambu,u,bu,mbu,1,u,na,0.5,M
amritaya,a,ya,aya,1,a,na,0.5,M
amshu,u,hu,shu,1,u,na,1.0,M
amshul,l,ul,hul,0,n,na,0.5,M
amul,l,ul,mul,0,n,na,0.5,M
anaadi,i,di,adi,1,i,na,0.7,M
anaan,n,an,aan,0,n,na,0.5,M
anadi,i,di,adi,1,i,na,0.7,M
anagh,h,gh,agh,0,n,na,0.5,M
anand,d,nd,and,0,n,na,0.5,M
anandi,i,di,ndi,1,i,na,0.7,M
anang,g,ng,ang,0,n,na,0.5,M
anant,t,nt,ant,0,n,na,0.5,M
anantajeet,t,et,eet,0,n,na,0.2,M
anantram,m,am,ram,0,n,na,0.3,M
ananyo,o,yo,nyo,1,o,na,0.7,M
anay,y,ay,nay,0,n,na,0.5,M
anek,k,ek,nek,0,n,na,0.5,M
angad,d,ad,gad,0,n,na,0.5,M
angada,a,da,ada,1,a,na,0.7,M
angaj,j,aj,gaj,0,n,na,0.5,M
angak,k,ak,gak,0,n,na,0.5,M
aniij,j,ij,iij,0,n,na,0.5,M
anik,k,ik,nik,0,n,na,0.5,M
anikait,t,it,ait,0,n,na,0.3,M
aniket,t,et,ket,0,n,na,0.3,M
anil,l,il,nil,0,n,na,0.5,M
anilaabh,h,bh,abh,0,n,na,0.3,M
animesh,h,sh,esh,0,n,na,0.3,M
aniruddha,a,ha,dha,1,a,ha,0.5,M
anirudh,h,dh,udh,0,n,na,0.3,M
anirvan,n,an,van,0,n,na,0.3,M
anish,h,sh,ish,0,n,na,0.5,M
anit,t,it,nit,0,n,na,0.5,M
anjal,l,al,jal,0,n,na,0.5,M
anjan,n,an,jan,0,n,na,0.5,M
anjas,s,as,jas,0,n,na,0.5,M
anji,i,ji,nji,1,i,na,1.0,M
anjor,r,or,jor,0,n,na,0.5,M
anjuman,n,an,man,0,n,na,0.3,M
ankal,l,al,kal,0,n,na,0.5,M
ankit,t,it,kit,0,n,na,0.5,M
ankur,r,ur,kur,0,n,na,0.5,M
ankush,h,sh,ush,0,n,na,0.5,M
anmol,l,ol,mol,0,n,na,0.5,M
annuabhuj,j,uj,huj,0,n,na,0.3,M
anoop,p,op,oop,0,n,na,0.5,M
anram,m,am,ram,0,n,na,0.5,M
ansh,h,sh,nsh,0,n,na,1.0,M
anshu,u,hu,shu,1,u,na,1.0,M
anshuk,k,uk,huk,0,n,na,0.5,M
anshul,l,ul,hul,0,n,na,0.5,M
anshumaan,n,an,aan,0,n,na,0.3,M
anshumat,t,at,mat,0,n,na,0.3,M
antara,a,ra,ara,1,a,na,0.7,M
antariksh,h,sh,ksh,0,n,na,0.3,M
antim,m,im,tim,0,n,na,0.5,M
anubhav,v,av,hav,0,n,na,0.3,M
anudeep,p,ep,eep,0,n,na,0.3,M
anuj,j,uj,nuj,0,n,na,0.5,M
anunay,y,ay,nay,0,n,na,0.3,M
anupam,m,am,pam,0,n,na,0.3,M
anuraag,g,ag,aag,0,n,na,0.3,M
anurup,p,up,rup,0,n,na,0.3,M
anuttam,m,am,tam,0,n,na,0.3,M
anuva,a,va,uva,1,a,na,0.7,M
appu,u,pu,ppu,1,u,na,1.0,M
apoorva,a,va,rva,1,a,na,0.7,M
aprameya,a,ya,eya,1,a,na,0.5,M
aradhya,a,ya,hya,1,a,na,0.7,M
aranab,b,ab,nab,0,n,na,0.3,M
arav,v,av,rav,0,n,na,0.5,M
arha,a,ha,rha,1,a,rha,1.0,M
archan,n,an,han,0,n,na,0.5,M
archit,t,it,hit,0,n,na,0.5,M
ardhendu,u,du,ndu,1,u,na,0.7,M
areehah,h,ah,hah,0,n,na,0.3,M
arhat,t,at,hat,0,n,na,0.5,M
arihaan,n,an,aan,0,n,na,0.3,M
arihant,t,nt,ant,0,n,na,0.3,M
arij,j,ij,rij,0,n,na,0.5,M
arindam,m,am,dam,0,n,na,0.3,M
arja,a,ja,rja,1,a,na,1.0,M
arjit,t,it,jit,0,n,na,0.5,M
arjun,n,un,jun,0,n,na,0.5,M
arka,a,ka,rka,1,a,na,1.0,M
arman,n,an,man,0,n,na,0.5,M
arnav,v,av,nav,0,n,na,0.5,M
arnesh,h,sh,esh,0,n,na,0.5,M
arpan,n,an,pan,0,n,na,0.5,M
arshad,d,ad,had,0,n,na,0.5,M
artagnan,n,an,nan,0,n,na,0.3,M
arth,h,th,rth,0,n,na,1.0,M
arul,l,ul,rul,0,n,na,0.5,M
arun,n,un,run,0,n,na,0.5,M
arunachaleshwara,a,ra,ara,1,a,na,0.3,M
arvin,n,in,vin,0,n,na,0.5,M
arvind,d,nd,ind,0,n,na,0.5,M
arya,a,ya,rya,1,a,na,1.0,M
aryaman,n,an,man,0,n,na,0.3,M
aryan,n,an,yan,0,n,na,0.5,M
asav,v,av,sav,0,n,na,0.5,M
aseelah,h,ah,lah,0,n,na,0.3,M
aseem,m,em,eem,0,n,na,0.5,M
ashank,k,nk,ank,0,n,na,0.5,M
ashcharya,a,ya,rya,1,a,na,0.7,M
asheem,m,em,eem,0,n,na,0.5,M
ashesh,h,sh,esh,0,n,na,0.5,M
ashirvad,d,ad,vad,0,n,na,0.3,M
ashish,h,sh,ish,0,n,na,0.5,M
ashit,t,it,hit,0,n,na,0.5,M
ashok,k,ok,hok,0,n,na,0.5,M
ashray,y,ay,ray,0,n,na,0.5,M
ashrith,h,th,ith,0,n,na,0.5,M
ashutosh,h,sh,osh,0,n,na,0.3,M
ashvath,h,th,ath,0,n,na,0.5,M
ashwaghosh,h,sh,osh,0,n,na,0.3,M
ashwathama,a,ma,ama,1,a,na,0.5,M
ashwin,n,in,win,0,n,na,0.5,M
asit,t,it,sit,0,n,na,0.5,M
asitvaran,n,an,ran,0,n,na,0.2,M
asiya,a,ya,iya,1,a,na,0.7,M
asuman,n,an,man,0,n,na,0.3,M
atal,l,al,tal,0,n,na,0.5,M
atambhu,u,hu,bhu,1,u,na,0.7,M
atanu,u,nu,anu,1,u,na,0.7,M
ateet,t,et,eet,0,n,na,0.5,M
atharvan,n,an,van,0,n,na,0.3,M
atiksh,h,sh,ksh,0,n,na,0.5,M
atithi,i,hi,thi,1,i,na,0.7,M
atma,a,ma,tma,1,a,na,1.0,M
atmajyoti,i,ti,oti,1,i,na,0.5,M
atman,n,an,man,0,n,na,0.5,M
atmananda,a,da,nda,1,a,na,0.5,M
atraiu,u,iu,aiu,1,u,na,1.0,M
atul,l,ul,tul,0,n,na,0.5,M
atulya,a,ya,lya,1,a,na,0.7,M
avadhesh,h,sh,esh,0,n,na,0.3,M
avalok,k,ok,lok,0,n,na,0.3,M
avaneesh,h,sh,esh,0,n,na,0.3,M
avanindra,a,ra,dra,1,a,na,0.5,M
avashesh,h,sh,esh,0,n,na,0.3,M
avasyu,u,yu,syu,1,u,na,0.7,M
avatar,r,ar,tar,0,n,na,0.3,M
avi,i,vi,Avi,1,i,na,2.0,M
avichal,l,al,hal,0,n,na,0.3,M
avijit,t,it,jit,0,n,na,0.3,M
avikam,m,am,kam,0,n,na,0.3,M
avilash,h,sh,ash,0,n,na,0.3,M
avinash,h,sh,ash,0,n,na,0.3,M
avinashi,i,hi,shi,1,i,na,0.5,M
avirat,t,at,rat,0,n,na,0.3,M
avkash,h,sh,ash,0,n,na,0.5,M
avtar,r,ar,tar,0,n,na,0.5,M
avyukt,t,kt,ukt,0,n,na,0.5,M
ayog,g,og,yog,0,n,na,0.5,M
ayudh,h,dh,udh,0,n,na,0.5,M
ayush,h,sh,ush,0,n,na,0.5,M
ba,a,Ba,Ba,1,a,na,1.0,M
baadal,l,al,dal,0,n,na,0.0,M
baalaark,k,rk,ark,0,n,na,0.0,M
baalkrishan,n,an,han,0,n,na,0.0,M
baanbhatt,t,tt,att,0,n,na,0.0,M
baanke,e,ke,nke,1,e,na,1.0,M
baasima,a,ma,ima,1,a,na,0.3,M
babala,a,la,ala,1,a,na,0.3,M
babul,l,ul,bul,0,n,na,0.0,M
badri,i,ri,dri,1,i,na,0.5,M
badrinath,h,th,ath,0,n,na,0.0,M
badriprasad,d,ad,sad,0,n,na,0.0,M
bahubali,i,li,ali,1,i,na,0.2,M
bahula,a,la,ula,1,a,na,0.3,M
bahuleya,a,ya,eya,1,a,na,0.2,M
baibhav,v,av,hav,0,n,na,0.0,M
bajrang,g,ng,ang,0,n,na,0.0,M
bakool,l,ol,ool,0,n,na,0.0,M
bakul,l,ul,kul,0,n,na,0.0,M
bakula,a,la,ula,1,a,na,0.3,M
balaaditya,a,ya,tya,1,a,na,0.2,M
balachandra,a,ra,dra,1,a,na,0.2,M
balagopal,l,al,pal,0,n,na,0.0,M
balagovind,d,nd,ind,0,n,na,0.0,M
balaji,i,ji,aji,1,i,na,0.3,M
balakrishna,a,na,hna,1,a,na,0.2,M
balamani,i,ni,ani,1,i,na,0.2,M
balamohan,n,an,han,0,n,na,0.0,M
balaraj,j,aj,raj,0,n,na,0.0,M
balaram,m,am,ram,0,n,na,0.0,M
balashankar,r,ar,kar,0,n,na,0.0,M
balavan,n,an,van,0,n,na,0.0,M
balbhadra,a,ra,dra,1,a,na,0.3,M
balbir,r,ir,bir,0,n,na,0.0,M
baldev,v,ev,dev,0,n,na,0.0,M
balendu,u,du,ndu,1,u,na,0.3,M
balmukund,d,nd,und,0,n,na,0.0,M
bali,i,li,ali,1,i,na,0.5,M
balraj,j,aj,raj,0,n,na,0.0,M
balram,m,am,ram,0,n,na,0.0,M
balvant,t,nt,ant,0,n,na,0.0,M
balveer,r,er,eer,0,n,na,0.0,M
balvindra,a,ra,dra,1,a,na,0.3,M
banaj,j,aj,naj,0,n,na,0.0,M
bandhu,u,hu,dhu,1,u,na,0.5,M
bandhul,l,ul,hul,0,n,na,0.0,M
bandhula,a,la,ula,1,a,na,0.3,M
baneet,t,et,eet,0,n,na,0.0,M
banke,e,ke,nke,1,e,na,1.0,M
bankebihari,i,ri,ari,1,i,na,0.2,M
bankim,m,im,kim,0,n,na,0.0,M
bankimchandra,a,ra,dra,1,a,na,0.2,M
banshi,i,hi,shi,1,i,na,0.5,M
banshidhar,r,ar,har,0,n,na,0.0,M
bansi,i,si,nsi,1,i,na,0.5,M
bansilal,l,al,lal,0,n,na,0.0,M
banwari,i,ri,ari,1,i,na,0.3,M
barid,d,id,rid,0,n,na,0.0,M
barindra,a,ra,dra,1,a,na,0.3,M
barsaat,t,at,aat,0,n,na,0.0,M
barun,n,un,run,0,n,na,0.0,M
basant,t,nt,ant,0,n,na,0.0,M
basdev,v,ev,dev,0,n,na,0.0,M
batuk,k,uk,tuk,0,n,na,0.0,M
bavyesh,h,sh,esh,0,n,na,0.0,M
bh,h,Bh,Bh,0,n,na,0.0,M
bhadra,a,ra,dra,1,a,na,0.5,M
bhadrak,k,ak,rak,0,n,na,0.0,M
bhadrakapil,l,il,pil,0,n,na,0.0,M
bhadraksh,h,sh,ksh,0,n,na,0.0,M
bhadrashree,e,ee,ree,1,e,na,0.5,M
bhadresh,h,sh,esh,0,n,na,0.0,M
bhagat,t,at,gat,0,n,na,0.0,M
bhagavaan,n,an,aan,0,n,na,0.0,M
bhagesh,h,sh,esh,0,n,na,0.0,M
bhagirath,h,th,ath,0,n,na,0.0,M
bhagwant,t,nt,ant,0,n,na,0.0,M
bhagyaraj,j,aj,raj,0,n,na,0.0,M
bhairav,v,av,rav,0,n,na,0.0,M
bhajan,n,an,jan,0,n,na,0.0,M
bhakti,i,ti,kti,1,i,na,0.5,M
bhalendra,a,ra,dra,1,a,na,0.3,M
bhanu,u,nu,anu,1,u,na,0.5,M
bhanudas,s,as,das,0,n,na,0.0,M
bhanumitra,a,ra,tra,1,a,na,0.2,M
bhanuprakash,h,sh,ash,0,n,na,0.0,M
bhanuprasad,d,ad,sad,0,n,na,0.0,M
bharadwaj,j,aj,waj,0,n,na,0.0,M
bharat,t,at,rat,0,n,na,0.0,M
bhargav,v,av,gav,0,n,na,0.0,M
bhargava,a,va,ava,1,a,na,0.3,M
bhartesh,h,sh,esh,0,n,na,0.0,M
bhartihari,i,ri,ari,1,i,na,0.2,M
bhaskar,r,ar,kar,0,n,na,0.0,M
bhasvan,n,an,van,0,n,na,0.0,M
bhaswar,r,ar,war,0,n,na,0.0,M
bhaumik,k,ik,mik,0,n,na,0.0,M
bhavan,n,an,van,0,n,na,0.0,M
bhavesh,h,sh,esh,0,n,na,0.0,M
bhavin,n,in,vin,0,n,na,0.0,M
bhavya,a,ya,vya,1,a,na,0.5,M
bhawanidas,s,as,das,0,n,na,0.0,M
bheemsen,n,en,sen,0,n,na,0.0,M
bheru,u,ru,eru,1,u,na,0.5,M
bheesham,m,am,ham,0,n,na,0.0,M
bhim,m,im,him,0,n,na,0.0,M
bhishma,a,ma,hma,1,a,na,0.5,M
bhoj,j,oj,hoj,0,n,na,0.0,M
bholanath,h,th,ath,0,n,na,0.0,M
bhoopat,t,at,pat,0,n,na,0.0,M
bhoopendra,a,ra,dra,1,a,na,0.3,M
bhooshan,n,an,han,0,n,na,0.0,M
bhooshit,t,it,hit,0,n,na,0.0,M
bhoumik,k,ik,mik,0,n,na,0.0,M
bhramar,r,ar,mar,0,n,na,0.0,M
bhrigu,u,gu,igu,1,u,na,0.5,M
bhudev,v,ev,dev,0,n,na,0.0,M
bhuman,n,an,man,0,n,na,0.0,M
bhupad,d,ad,pad,0,n,na,0.0,M
bhupal,l,al,pal,0,n,na,0.0,M
bhupati,i,ti,ati,1,i,na,0.3,M
bhupen,n,en,pen,0,n,na,0.0,M
bhupendra,a,ra,dra,1,a,na,0.3,M
bhupesh,h,sh,esh,0,n,na,0.0,M
bhushan,n,an,han,0,n,na,0.0,M
bhuvan,n,an,van,0,n,na,0.0,M
bhuvanesh,h,sh,esh,0,n,na,0.0,M
bhuvaneshwar,r,ar,war,0,n,na,0.0,M
responsive1,1,e1,ve1,0,n,na,0.0,M
bibek,k,ek,bek,0,n,na,0.0,M
bibhas,s,as,has,0,n,na,0.0,M
bijal,l,al,jal,0,n,na,0.0,M
bijoy,y,oy,joy,0,n,na,0.0,M
bilva,a,va,lva,1,a,na,0.5,M
bimal,l,al,mal,0,n,na,0.0,M
bimb,b,mb,imb,0,n,na,0.0,M
bimbisaar,r,ar,aar,0,n,na,0.0,M
bindusar,r,ar,sar,0,n,na,0.0,M
binod,d,od,nod,0,n,na,0.0,M
biplab,b,ab,lab,0,n,na,0.0,M
bipin,n,in,pin,0,n,na,0.0,M
bir,r,ir,Bir,0,n,na,0.0,M
birbal,l,al,bal,0,n,na,0.0,M
biren,n,en,ren,0,n,na,0.0,M
birendra,a,ra,dra,1,a,na,0.3,M
birju,u,ju,rju,1,u,na,0.5,M
bisaj,j,aj,saj,0,n,na,0.0,M
bodhan,n,an,han,0,n,na,0.0,M
boudhayan,n,an,yan,0,n,na,0.0,M
brahma,a,ma,hma,1,a,na,0.5,M
brahmaanand,d,nd,and,0,n,na,0.0,M
brahmabrata,a,ta,ata,1,a,na,0.2,M
brahmadutt,t,tt,utt,0,n,na,0.0,M
braj,j,aj,raj,0,n,na,0.0,M
brajamohan,n,an,han,0,n,na,0.0,M
brajendra,a,ra,dra,1,a,na,0.3,M
brajesh,h,sh,esh,0,n,na,0.0,M
brajraaj,j,aj,aaj,0,n,na,0.0,M
bramhaghosh,h,sh,osh,0,n,na,0.0,M
bramhanand,d,nd,and,0,n,na,0.0,M
bratindra,a,ra,dra,1,a,na,0.3,M
brent,t,nt,ent,0,n,na,0.0,M
brij,j,ij,rij,0,n,na,0.0,M
brijesh,h,sh,esh,0,n,na,0.0,M
brijmohan,n,an,han,0,n,na,0.0,M
brijkishor,r,or,hor,0,n,na,0.0,M
brijnandan,n,an,dan,0,n,na,0.0,M
brijraj,j,aj,raj,0,n,na,0.0,M
brirar,r,ar,rar,0,n,na,0.0,M
brynaam,m,am,aam,0,n,na,0.0,M
buddha,a,ha,dha,1,a,ha,0.5,M
buddhadeva,a,va,eva,1,a,na,0.2,M
buddhapriya,a,ya,iya,1,a,na,0.2,M
budhil,l,il,hil,0,n,na,0.0,M
back,k,ck,ack,0,n,na,0.0,M
home,e,me,ome,1,e,na,1.0,M
chaanakya,a,ya,kya,1,a,na,0.3,M
chaaruchandra,a,ra,dra,1,a,na,0.2,M
chaarudatt,t,tt,att,0,n,na,0.0,M
chaaruhaas,s,as,aas,0,n,na,0.0,M
chahel,l,el,hel,0,n,na,0.0,M
chaitan,n,an,tan,0,n,na,0.0,M
chain,n,in,ain,0,n,na,0.0,M
chaitanya,a,ya,nya,1,a,na,0.3,M
chakor,r,or,kor,0,n,na,0.0,M
chakradev,v,ev,dev,0,n,na,0.0,M
chakradhar,r,ar,har,0,n,na,0.0,M
chakrapaani,i,ni,ani,1,i,na,0.2,M
chakravartee,e,ee,tee,1,e,na,0.3,M
chakresh,h,sh,esh,0,n,na,0.0,M
chakshan,n,an,han,0,n,na,0.0,M
chaman,n,an,man,0,n,na,0.0,M
chamanlal,l,al,lal,0,n,na,0.0,M
champak,k,ak,pak,0,n,na,0.0,M
chanak,k,ak,nak,0,n,na,0.0,M
chanchal,l,al,hal,0,n,na,0.0,M
chanchareek,k,ek,eek,0,n,na,0.0,M
chandak,k,ak,dak,0,n,na,0.0,M
chandan,n,an,dan,0,n,na,0.0,M
chandavarman,n,an,man,0,n,na,0.0,M
chandeedaas,s,as,aas,0,n,na,0.0,M
chander,r,er,der,0,n,na,0.0,M
chandra,a,ra,dra,1,a,na,0.5,M
chandrakiran,n,an,ran,0,n,na,0.0,M
chandrabhan,n,an,han,0,n,na,0.0,M
chandraabhaa,a,aa,haa,1,a,na,0.3,M
chandraaditya,a,ya,tya,1,a,na,0.2,M
chandraanan,n,an,nan,0,n,na,0.0,M
chandraayan,n,an,yan,0,n,na,0.0,M
chandrabhaga,a,ga,aga,1,a,na,0.2,M
chandrachur,r,ur,hur,0,n,na,0.0,M
chandragupt,t,pt,upt,0,n,na,0.0,M
chandrahaas,s,as,aas,0,n,na,0.0,M
chandrak,k,ak,rak,0,n,na,0.0,M
chandraketu,u,tu,etu,1,u,na,0.2,M
chandrakin,n,in,kin,0,n,na,0.0,M
chandrakishore,e,re,ore,1,e,na,0.2,M
chandrakumar,r,ar,mar,0,n,na,0.0,M
chandramaadhav,v,av,hav,0,n,na,0.0,M
chandramauli,i,li,uli,1,i,na,0.2,M
chandramohan,n,an,han,0,n,na,0.0,M
chandran,n,an,ran,0,n,na,0.0,M
chandranath,h,th,ath,0,n,na,0.0,M
chandrpeed,d,ed,eed,0,n,na,0.0,M
chandraprakaash,h,sh,ash,0,n,na,0.0,M
chandraraj,j,aj,raj,0,n,na,0.0,M
chandrasen,n,en,sen,0,n,na,0.0,M
chandrashekhar,r,ar,har,0,n,na,0.0,M
chandravadan,n,an,dan,0,n,na,0.0,M
chandresh,h,sh,esh,0,n,na,0.0,M
chane,e,ne,ane,1,e,na,1.0,M
chapal,l,al,pal,0,n,na,0.0,M
